SEX OFFENSES, NON FORCIBLE	1
PORNOGRAPHY/OBSCENE MAT	1
GAMBLING	2
STOLEN PROPERTY	3
BAD CHECKS	4
FAMILY OFFENSES	4
EXTORTION	7
LOITERING	10
SUICIDE	11
PROSTITUTION	12
EMBEZZLEMENT	16
LIQUOR LAWS	22
ARSON	33
RUNAWAY	35
DISORDERLY CONDUCT	52
DRIVING UNDER THE INFLUENCE	63
KIDNAPPING	74
DRUNKENNESS	92
FORGERY/COUNTERFEITING	97
SEX OFFENSES, FORCIBLE	99
TRESPASS	154
WEAPON LAWS	167
FRAUD	383
SUSPICIOUS OCC	474
ROBBERY	571
MISSING PERSON	688
DRUG/NARCOTIC	795
BURGLARY	857
WARRANTS	984
VANDALISM	1116
VEHICLE THEFT	1147
ASSAULT	1745
NON-CRIMINAL	2475
OTHER OFFENSES	2519
LARCENY/THEFT	6120
